U,D_NRG_met,D_NRG_ins,D_L1_p1_lin,D_L1_p1_log,D_L2_p1_lin,D_L2_p1_log,D_L1_p2_lin,D_L1_p2_log,D_L2_p2_lin
2.1,NaN,NaN,0.07994204398605742,0.07995028720593624,0.07869998582171565,0.07869170862444694,0.07811713441285578,0.07807337550920822,0.07783915272524652
2.2,0.07,NaN,0.07249948164413239,0.07250972267740528,0.07117245638609354,0.07114897910409962,0.07040712108508898,0.07032450778191367,0.07007718663685147
2.3,NaN,NaN,0.065212854974969,0.06521396624789227,0.06376225506033241,0.06374782162387777,0.06277427989610626,0.06267607807176254,0.06244249442666084
2.4,0.0547,0.027,0.05809495325822251,0.058093104787519834,0.05654826476780652,0.05650761050385066,0.055289733482284144,0.05514848066296732,0.05492638761611055
2.5,NaN,NaN,0.05117669621488467,0.051185733772132536,0.04949935721162961,0.04946114421538989,0.04799680716460942,0.04777719420530049,0.04752999212430524
2.6,0.0398,0.0217,0.04453900149856376,0.044537509540846634,0.04271297645951068,0.042645084298122735,0.04087119625242913,0.04061484062674828,0.040439150187051666
2.7,NaN,NaN,0.03821800798171305,0.03821959909634574,0.03621382907370153,0.03611698291664071,0.03424031547216673,0.03375335567430372,0.033640127563695055
2.8,0.0255,0.0181,0.032289429983842335,0.03232592835478641,0.030075735828777695,0.02996742525023989,0.02798999967919943,0.027360381672141443,0.027411187112975813
2.9,NaN,NaN,0.02691134568260063,0.02697933994041462,0.02452660490599596,0.02434625163073983,0.02295540409733416,0.02177323356044182,0.02262677926318324
3.0,NaN,0.0154,0.022091890865794574,0.02231334763950352,0.020009517904440048,0.01952226821140548,0.019180099252011865,0.017388846203394405,0.018978604240142916
3.1,NaN,NaN,0.018114464822452013,0.01843348437899144,0.016649083562475225,0.015972217866002218,0.01626734914010658,0.014707305085983119,0.01626350483731753
3.2,NaN,0.0133,0.014996877747016137,0.015346779595769548,0.014164796489438488,0.013839547424507367,0.01406045885438056,0.013415559890598717,0.014245045092354936
3.3,NaN,NaN,0.012900791566294185,0.012996156024257181,0.01255743249214851,0.01254065345084571,0.012545625436582815,0.012483570365615723,0.01278973895727275
3.4,NaN,0.0117,0.011711699561360837,0.01169530084210407,0.011677039644245322,0.011686541650234814,0.011676525535551045,0.011685479629154479,0.011763249642564184
3.5,NaN,NaN,0.010932742640016247,0.01093496213186886,0.010961149009353044,0.010970674083026658,0.01096106039628995,0.010970717308203225,0.010980857426742591
